GeneID	Symbol	Synonyms	description	type_of_gene
113542705	tent5d	-	terminal nucleotidyltransferase 5D	protein-coding
113542706	ugl	mlsl	ureidoglycolate lyase	protein-coding
113542707	znf711	-	ZFX family zinc finger ZNF711	protein-coding
113542708	frmpd3	-	FERM and PDZ domain containing 3	protein-coding
113542709	si:ch211-153b23.5	-	uncharacterized LOC113542709	protein-coding
113542710	asb12b	asb12	ankyrin repeat and SOCS box-containing 12b	protein-coding
113542711	p2rx3a	-	purinergic receptor P2X, ligand-gated ion channel, 3a	protein-coding
113542712	LOC113542712	btbd18	uncharacterized LOC113542712	protein-coding
113542713	alms1	-	ALMS1 centrosome and basal body associated protein	protein-coding
113542714	zgc:113425	-	uncharacterized LOC113542714	protein-coding
113542715	rapgef2b	rapgef2	Rap guanine nucleotide exchange factor 2b	protein-coding
113542716	LOC113542716	-	uncharacterized LOC113542716	protein-coding
113542717	LOC113542717	-	uncharacterized LOC113542717	protein-coding
113542719	rassf4a	rassf4	Ras association domain family member 4a	protein-coding
113542720	LOC113542720	-	uncharacterized LOC113542720	protein-coding
113542722	zgc:154054	mgat4d	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B-like	protein-coding
113542723	rxfp1	-	relaxin family peptide receptor 1	protein-coding
113542724	anxa5a	anxa5	annexin A5a	protein-coding
113542725	clcf1	-	cardiotrophin-like cytokine factor 1	protein-coding
113542726	rnf20	-	ring finger protein 20, E3 ubiquitin protein ligase	protein-coding
113542727	aff2	-	AF4/FMR2 family, member 2	protein-coding
113542728	atrx	-	ATRX chromatin remodeler	protein-coding
113542729	abcb7	-	ATP-binding cassette, sub-family B (MDR/TAP), member 7	protein-coding
113542731	LOC113542731	-	uncharacterized LOC113542731	protein-coding
113542732	LOC113542732	-	gap junction alpha-3 protein-like	pseudo
113542733	cxcl18a.1	-	chemokine (C-X-C motif) ligand 18a, duplicate 1	protein-coding
113542735	tbc1d8b	-	TBC1 domain family member 8B	protein-coding
113542736	gria3b	gria3	glutamate receptor, ionotropic, AMPA 3b	protein-coding
113542737	LOC113542737	-	uncharacterized LOC113542737	ncRNA
113542738	zgc:66433	-	uncharacterized LOC113542738	protein-coding
113542739	si:ch73-6k14.2	depp1	DEPP1 autophagy regulator	protein-coding
113542740	si:dkey-74k8.3	-	uncharacterized si:dkey-74k8.3	protein-coding
113542741	mgarpa	mgarp|si:ch211-235e9.8	mitochondria localized glutamic acid rich protein a	protein-coding
113542742	elf2a	elf2	E74-like factor 2a (ets domain transcription factor)	protein-coding
113542743	nocta	noct	nocturnin a	protein-coding
113542744	spdl1	-	spindle apparatus coiled-coil protein 1	protein-coding
113542745	LOC113542745	aifm2	apoptosis inducing factor mitochondria associated 2	protein-coding
113542746	LOC113542746	-	uncharacterized LOC113542746	ncRNA
113542749	LOC113542749	-	spermatogenesis-associated protein 13	protein-coding
113542750	LOC113542750	-	ephrin-B1	protein-coding
113542751	csnk1a1	-	casein kinase 1, alpha 1	protein-coding
113542752	LOC113542752	-	fibronectin type-III domain-containing protein 3A	protein-coding
113542753	cysltr1	-	cysteinyl leukotriene receptor 1	protein-coding
113542754	rnf128a	-	ring finger protein 128a	protein-coding
113542755	kdm3b	-	lysine (K)-specific demethylase 3B	protein-coding
113542756	gpr174	-	G protein-coupled receptor 174	protein-coding
113542757	LOC113542757	itm2a	integral membrane protein 2A	protein-coding
113542758	rufy1	-	RUN and FYVE domain containing 1	protein-coding
113542759	hnrnph1	-	heterogeneous nuclear ribonucleoprotein H1	protein-coding
113542760	pls3	-	plastin 3 (T isoform)	protein-coding
113542761	rps6kal	-	ribosomal protein S6 kinase a, like	protein-coding
113542762	sil1	-	SIL1 nucleotide exchange factor	protein-coding
113542763	ppp2r2cb	-	protein phosphatase 2, regulatory subunit B, gamma b	protein-coding
113542764	LOC113542764	ctbp1	C-terminal binding protein 1	protein-coding
113542765	stx3b	stx3a	syntaxin 3b	protein-coding
113542766	simc1	-	SUMO interacting motifs containing 1	protein-coding
113542767	cnot6b	-	CCR4-NOT transcription complex, subunit 6b	protein-coding
113542768	kdm2ab	kdm2a	lysine (K)-specific demethylase 2Ab	protein-coding
113542769	fmr1	-	fragile X messenger ribonucleoprotein 1	protein-coding
113542770	LOC113542770	-	ectodysplasin-A	protein-coding
113542771	LOC113542771	-	teneurin-1	protein-coding
113542773	wdr32	dcaf10	WD repeat domain 32	protein-coding
113542774	nlgn3a	nlgn3	neuroligin 3a	protein-coding
113542775	sh3bgrl	-	SH3 domain binding glutamate-rich protein like	protein-coding
113542776	etfdh	-	electron transfer flavoprotein dehydrogenase	protein-coding
113542777	ppid	-	peptidylprolyl isomerase D	protein-coding
113542778	LOC113542778	-	tudor domain-containing protein 5	protein-coding
113542779	gjb1b	cx31.7	gap junction protein beta 1b	protein-coding
113542780	rad9a	-	RAD9 checkpoint clamp component A	protein-coding
113542781	tbc1d10c	-	TBC1 domain family, member 10C	protein-coding
113542782	commd5	-	COMM domain containing 5	protein-coding
113542783	LOC113542783	-	lysozyme g	protein-coding
113542784	pomk	-	protein O-mannose kinase	protein-coding
113542785	LOC113542785	-	lysozyme g	protein-coding
113542786	LOC113542786	-	lysozyme g	protein-coding
113542787	hdac3	-	histone deacetylase 3	protein-coding
113542788	reep2	-	receptor accessory protein 2	protein-coding
113542789	prps1b	prps1	phosphoribosyl pyrophosphate synthetase 1B	protein-coding
113542790	aldob	-	aldolase b, fructose-bisphosphate	protein-coding
113542791	LOC113542791	-	connector enhancer of kinase suppressor of ras 2	protein-coding
113542792	hdx	-	highly divergent homeobox	protein-coding
113542793	LOC113542793	-	MICOS complex subunit MIC27	protein-coding
113542794	LOC113542794	-	uncharacterized LOC113542794	ncRNA
113542795	LOC113542795	-	uncharacterized LOC113542795	ncRNA
113542796	zdhhc5b	zdhhc5	zDHHC palmitoyltransferase 5b	protein-coding
113542797	chrnb5b	-	cholinergic receptor, nicotinic, beta 5b	protein-coding
113542798	zdhhc15b	zdhhc15	zinc finger DHHC-type palmitoyltransferase 15b	protein-coding
113542799	LOC113542799	-	uracil phosphoribosyltransferase homolog	protein-coding
113542800	LOC113542800	-	integrin alpha-6-like	protein-coding
113542801	chrnb3b	-	cholinergic receptor nicotinic beta 3 subunit b	protein-coding
113542802	prom2	-	prominin 2	protein-coding
113542803	LOC113542803	-	endothelin receptor type B	protein-coding
113542804	polr1d	-	RNA polymerase I and III subunit D	protein-coding
113542805	rab33ba	-	RAB33B, member RAS oncogene family a	protein-coding
113542806	mif	-	macrophage migration inhibitory factor	protein-coding
113542807	si:dkeyp-121d2.7	-	zinc finger protein 572	protein-coding
113542808	med19a	-	mediator complex subunit 19a	protein-coding
113542810	LOC113542810	-	zinc finger C4H2 domain-containing protein	protein-coding
113542811	smim19	-	small integral membrane protein 19	protein-coding
113542812	crybb1l1	-	crystallin, beta B1, like 1	protein-coding
113542813	LOC113542813	-	uncharacterized LOC113542813	protein-coding
113542814	spon2a	-	spondin 2a, extracellular matrix protein	protein-coding
113542815	prom1a	prom1	prominin 1a	protein-coding
113542816	fam193a	-	family with sequence similarity 193 member A	protein-coding
113542817	naa15a	-	N-alpha-acetyltransferase 15, NatA auxiliary subunit a	protein-coding
113542818	egr1	-	early growth response 1	protein-coding
113542819	pmf1	si:dkey-6i22.5	polyamine modulated factor 1	protein-coding
113542820	tmsb1	-	thymosin beta 1	protein-coding
113542821	scocb	scoc	short coiled-coil protein b	protein-coding
113542822	rhogd	-	ras homolog gene family, member Gd	protein-coding
113542823	mmp17b	-	matrix metallopeptidase 17b	protein-coding
113542824	LOC113542824	-	lysozyme g	protein-coding
113542825	timm8a	-	translocase of inner mitochondrial membrane 8 homolog A (yeast)	protein-coding
113542826	LOC113542826	ctbp1	C-terminal binding protein 1	protein-coding
113542827	LOC113542827	slc25a53	solute carrier family 25 member 53	protein-coding
113542828	LOC113542828	-	uncharacterized LOC113542828	ncRNA
113542829	tm9sf3	-	transmembrane 9 superfamily member 3	protein-coding
113542830	glod5	-	glyoxalase domain containing 5	protein-coding
113542831	LOC113542831	-	A disintegrin and metalloproteinase with thrombospondin motifs 2	protein-coding
113542832	tapt1a	-	transmembrane anterior posterior transformation 1a	protein-coding
113542833	fgfbp1a	fgfbp1	fibroblast growth factor binding protein 1a	protein-coding
113542834	fgfbp2a	-	fibroblast growth factor binding protein 2a	protein-coding
113542835	tmx2a	-	thioredoxin-related transmembrane protein 2a	protein-coding
113542836	chuk	-	component of inhibitor of nuclear factor kappa B kinase complex	protein-coding
113542837	ndufc1	-	NADH:ubiquinone oxidoreductase subunit C1	protein-coding
113542838	LOC113542838	-	transmembrane protein 182	protein-coding
113542839	cryba1l1	-	crystallin, beta A1, like 1	protein-coding
113542840	rlim	-	ring finger protein, LIM domain interacting	protein-coding
113542841	cabp2b	-	calcium binding protein 2b	protein-coding
113542842	zgc:174917	-	uncharacterized LOC113542842	protein-coding
113542843	tbx22	-	T-box transcription factor 22	protein-coding
113542844	LOC113542844	-	uncharacterized LOC113542844	ncRNA
113542845	rraga	-	Ras-related GTP binding A	protein-coding
113542846	LOC113542846	-	uncharacterized LOC113542846	protein-coding
113542847	zgc:113229	-	uncharacterized LOC113542847	protein-coding
113542848	setd7	-	SET domain containing 7, histone lysine methyltransferase	protein-coding
113542849	sybl1	vamp7	synaptobrevin-like 1	protein-coding
113542850	mark3a	-	MAP/microtubule affinity-regulating kinase 3a	protein-coding
113542851	clp1	-	cleavage factor polyribonucleotide kinase subunit 1	protein-coding
113542852	selenoh	-	selenoprotein H	protein-coding
113542853	maea	-	macrophage erythroblast attacher, E3 ubiquitin ligase	protein-coding
113542854	fam199x	-	family with sequence similarity 199, X-linked	protein-coding
113542855	selenot2	-	selenoprotein T, 2	protein-coding
113542856	rack1	-	receptor for activated C kinase 1	protein-coding
113542857	cnga2a	cnga2	cyclic nucleotide gated channel subunit alpha 2a	protein-coding
113542858	nme5	-	NME/NM23 family member 5	protein-coding
113542859	zgc:66447	-	SLAIN motif-containing protein-like	protein-coding
113542860	LOC113542860	-	uncharacterized LOC113542860	ncRNA
113542861	ldb2a	ldb2	LIM domain binding 2a	protein-coding
113542862	fstl5	-	follistatin-like 5	protein-coding
113542863	rnf128b	-	ring finger protein 128b	protein-coding
113542864	uqcrq	-	ubiquinol-cytochrome c reductase, complex III subunit VII	protein-coding
113542865	btk	-	Bruton agammaglobulinemia tyrosine kinase	protein-coding
113542866	LOC113542866	-	uncharacterized LOC113542866	ncRNA
113542867	polr1a	-	RNA polymerase I subunit A	protein-coding
113542868	flt4	-	fms related receptor tyrosine kinase 4	protein-coding
113542869	pcdh12	-	protocadherin 12	protein-coding
113542870	limch1b	-	LIM and calponin homology domains 1b	protein-coding
113542871	ogt.1	ogt	O-linked N-acetylglucosamine (GlcNAc) transferase, tandem duplicate 1	protein-coding
113542872	ccdc142	-	coiled-coil domain containing 142	protein-coding
113542873	maml1	-	mastermind-like transcriptional coactivator 1	protein-coding
113542874	porcn	-	porcupine O-acyltransferase	protein-coding
113542875	fhdc2	-	FH2 domain containing 2	protein-coding
113542876	wfs1b	wfs1	Wolfram syndrome 1b (wolframin)	protein-coding
113542877	jakmip1	-	janus kinase and microtubule interacting protein 1	protein-coding
113542878	ckba	ckb	creatine kinase, brain a	protein-coding
113542879	pcdh20l	pcdh20	protocadherin 20-like	protein-coding
113542880	tcirg1b	-	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3b	protein-coding
113542881	immt	-	inner membrane protein, mitochondrial (mitofilin)	protein-coding
113542882	znf185	-	zinc finger protein 185 with LIM domain	protein-coding
113542883	uvssa	-	UV-stimulated scaffold protein A	protein-coding
113542884	rnf103	-	ring finger protein 103	protein-coding
113542885	canx	-	calnexin	protein-coding
113542886	gcna	-	germ cell nuclear acidic peptidase	protein-coding
113542887	neurl1b	-	neuralized E3 ubiquitin protein ligase 1B	protein-coding
113542888	LOC113542888	-	zinc finger protein 37 homolog	protein-coding
113542889	mgat4b	-	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	protein-coding
113542890	prpf19	-	pre-mRNA processing factor 19	protein-coding
113542891	slc43a3b	-	solute carrier family 43 member 3b	protein-coding
113542892	fgfrl1a	fgfrl1	fibroblast growth factor receptor like 1a	protein-coding
113542893	trmt61a	-	tRNA methyltransferase 61A	protein-coding
113542894	pofut4	fut11	protein O-fucosyltransferase 4	protein-coding
113542895	sqstm1	-	sequestosome 1	protein-coding
113542896	rtn4rl2b	-	reticulon 4 receptor-like 2b	protein-coding
113542897	smtnl1	-	smoothelin-like 1	protein-coding
113542898	trim105	-	tripartite motif containing 105	protein-coding
113542899	mrnip	-	MRN complex interacting protein	protein-coding
113542900	npy7r	-	neuropeptide Y receptor Y7	protein-coding
113542901	nkx1-2b	nkx1-1|nkx1.2lb	NK1 homeobox 2b	protein-coding
113542902	nin	-	ninein (GSK3B interacting protein)	protein-coding
113542903	dusp1	-	dual specificity phosphatase 1	protein-coding
113542904	nsdhl	-	NAD(P) dependent 3-beta-hydroxysteroid dehydrogenase NSDHL	protein-coding
113542905	spon2b	spon2	spondin 2b, extracellular matrix protein	protein-coding
113542906	LOC113542906	rnf212	probable E3 SUMO-protein ligase RNF212	protein-coding
113542907	ergic1	-	endoplasmic reticulum-golgi intermediate compartment 1	protein-coding
113542908	phox2bb	-	paired like homeobox 2Bb	protein-coding
113542909	slbp	-	stem-loop histone mRNA binding protein	protein-coding
113542910	LOC113542910	-	transmembrane O-methyltransferase homolog	protein-coding
113542911	plp1a	-	proteolipid protein 1a	protein-coding
113542912	rab9b	-	RAB9B, member RAS oncogene family	protein-coding
113542913	si:ch211-255i20.3	-	transmembrane emp24 domain-containing protein 11	protein-coding
113542914	prelid1a	prelid1	PRELI domain containing 1a	protein-coding
113542915	mxd3	-	MAX dimerization protein 3	protein-coding
113542916	cetn2	-	centrin, EF-hand protein, 2	protein-coding
113542917	ltc4s	-	leukotriene C4 synthase	protein-coding
113542918	LOC113542918	-	trypsin inhibitor ClTI-1	protein-coding
113542919	LOC113542919	-	protease inhibitor 2	protein-coding
113542920	pgbd5	-	piggyBac transposable element derived 5	protein-coding
113542921	ptcd3	-	pentatricopeptide repeat domain 3	protein-coding
113542926	LOC113542926	-	uncharacterized LOC113542926	ncRNA
113542927	eif4ebp3l	-	eukaryotic translation initiation factor 4E binding protein 3, like	protein-coding
113542928	nexmifb	nexmif	neurite extension and migration factor b	protein-coding
113542929	trim8a	trim8	tripartite motif containing 8a	protein-coding
113542931	LOC113542931	-	uncharacterized LOC113542931	protein-coding
113542932	slc43a1a	-	solute carrier family 43 member 1a	protein-coding
113542933	rnf4	-	ring finger protein 4	protein-coding
113542934	kctd12b	-	potassium channel tetramerisation domain containing 12b	protein-coding
113542935	magt1	-	magnesium transporter 1	protein-coding
113542936	ankrd13d	-	ankyrin repeat domain 13 family, member D	protein-coding
113542937	atoh8	-	atonal bHLH transcription factor 8	protein-coding
113542939	si:ch211-175m2.5	-	uncharacterized LOC113542939	protein-coding
113542940	ssrp1a	-	structure specific recognition protein 1a	protein-coding
113542941	ran	-	RAN, member RAS oncogene family	protein-coding
113542942	myofl	-	myoferlin like	protein-coding
113542943	hmgn6	-	high mobility group nucleosome binding domain 6	protein-coding
113542944	p2ry10	-	P2Y receptor family member 10	protein-coding
113542945	ids	-	iduronate 2-sulfatase	protein-coding
113542946	hnrnpaba	-	heterogeneous nuclear ribonucleoprotein A/Ba	protein-coding
113542947	LOC113542947	cunh4orf45	uncharacterized protein C4orf45 homolog	protein-coding
113542948	LOC113542948	-	uncharacterized LOC113542948	pseudo
113542949	LOC113542949	-	small nucleolar RNA SNORA74	snoRNA
113542950	LOC113542950	-	small nucleolar RNA SNORD63	snoRNA
113542951	trnah-gug	-	transfer RNA histidin (anticodon GUG)	tRNA
113542952	trnah-gug	-	transfer RNA histidin (anticodon GUG)	tRNA
113542953	trnaa-ugc	-	transfer RNA alanine (anticodon UGC)	tRNA
113542954	brwd1	-	bromodomain and WD repeat domain containing 1	protein-coding
113542955	rbp2a	-	retinol binding protein 2a, cellular	protein-coding
113542956	toe1	-	target of EGR1, exonuclease	protein-coding
